time;V(OSC);
1.67562e-06;4.95892;
1.68062e-06;4.95894;
1.68562e-06;4.95897;
1.69062e-06;4.959;
1.69562e-06;4.95902;
1.70062e-06;4.95905;
1.70562e-06;4.95907;
1.71062e-06;4.9591;
1.71562e-06;4.95913;
1.72062e-06;4.95915;
1.72562e-06;4.95918;
1.73062e-06;4.9592;
1.73562e-06;4.95923;
1.74062e-06;4.95925;
1.74562e-06;4.95928;
1.75062e-06;4.9593;
1.75562e-06;4.95933;
1.76062e-06;4.95936;
1.76562e-06;4.95938;
1.77062e-06;4.95941;
1.77562e-06;4.95943;
1.78062e-06;4.95946;
1.78562e-06;4.95948;
1.79062e-06;4.95951;
1.79562e-06;4.95953;
1.80062e-06;4.95956;
1.80562e-06;4.95959;
1.81062e-06;4.95961;
1.81562e-06;4.95964;
1.82062e-06;4.95966;
1.82562e-06;4.95969;
1.83062e-06;4.95971;
1.83562e-06;4.95974;
1.84062e-06;4.95976;
1.84562e-06;4.95979;
1.85062e-06;4.95981;
1.85562e-06;4.95984;
1.86062e-06;4.95986;
1.86562e-06;4.95989;
1.87062e-06;4.95991;
1.87562e-06;4.95994;
1.88062e-06;4.95997;
1.88562e-06;4.95999;
1.89062e-06;4.96002;
1.89562e-06;4.96004;
1.90062e-06;4.96007;
1.90562e-06;4.96009;
1.91062e-06;4.96012;
1.91562e-06;4.96014;
1.92062e-06;4.96017;
1.92562e-06;4.96019;
1.93062e-06;4.96022;
1.93562e-06;4.96024;
1.94062e-06;4.96027;
1.94562e-06;4.96029;
1.95062e-06;4.96032;
1.95562e-06;4.96034;
1.96062e-06;4.96037;
1.96562e-06;4.96039;
1.97062e-06;4.96042;
1.97562e-06;4.96044;
1.98062e-06;4.96047;
1.98562e-06;4.96049;
1.99062e-06;4.96052;
1.99562e-06;4.96054;
2.00062e-06;4.96057;
2.00562e-06;4.96059;
2.01062e-06;4.96062;
2.01562e-06;4.96064;
2.02062e-06;4.96066;
2.02562e-06;4.96069;
2.03062e-06;4.96071;
2.03562e-06;4.96074;
2.04062e-06;4.96076;
2.04562e-06;4.96079;
2.05062e-06;4.96081;
2.05562e-06;4.96084;
2.06062e-06;4.96086;
2.06562e-06;4.96089;
2.07062e-06;4.96091;
2.07562e-06;4.96094;
2.08062e-06;4.96096;
2.08562e-06;4.96099;
2.09062e-06;4.96101;
2.09562e-06;4.96103;
2.10062e-06;4.96106;
2.10562e-06;4.96108;
2.11062e-06;4.96111;
2.11562e-06;4.96113;
2.12062e-06;4.96116;
2.12562e-06;4.96118;
2.13062e-06;4.96121;
2.13562e-06;4.96123;
2.14062e-06;4.96125;
2.14562e-06;4.96128;
2.15062e-06;4.9613;
2.15562e-06;4.96133;
2.16062e-06;4.96135;
2.16562e-06;4.96138;
2.17062e-06;4.9614;
2.17562e-06;4.96142;
2.18062e-06;4.96145;
2.18562e-06;4.96147;
2.19062e-06;4.9615;
2.19562e-06;4.96152;
2.20062e-06;4.96155;
2.20562e-06;4.96157;
2.21062e-06;4.96159;
2.21562e-06;4.96162;
2.22062e-06;4.96164;
2.22562e-06;4.96167;
2.23062e-06;4.96169;
2.23562e-06;4.96172;
2.24062e-06;4.96174;
2.24562e-06;4.96176;
2.25062e-06;4.96179;
2.25562e-06;4.96181;
2.26062e-06;4.96184;
2.26562e-06;4.96186;
2.27062e-06;4.96188;
2.27562e-06;4.96191;
2.28062e-06;4.96193;
2.28562e-06;4.96196;
2.29062e-06;4.96198;
2.29562e-06;4.962;
2.30062e-06;4.96203;
2.30562e-06;4.96205;
2.31062e-06;4.96207;
2.31562e-06;4.9621;
2.32062e-06;4.96212;
2.32562e-06;4.96215;
2.33062e-06;4.96217;
2.33562e-06;4.96219;
2.34062e-06;4.96222;
2.34562e-06;4.96224;
2.35062e-06;4.96227;
2.35562e-06;4.96229;
2.36062e-06;4.96231;
2.36562e-06;4.96234;
2.37062e-06;4.96236;
2.37562e-06;4.96238;
2.38062e-06;4.96241;
2.38562e-06;4.96243;
2.39062e-06;4.96245;
2.39562e-06;4.96248;
2.40062e-06;4.9625;
2.40562e-06;4.96253;
2.41062e-06;4.96255;
2.41562e-06;4.96257;
2.42062e-06;4.9626;
2.42562e-06;4.96262;
2.43062e-06;4.96264;
2.43562e-06;4.96267;
2.44062e-06;4.96269;
2.44562e-06;4.96271;
2.45062e-06;4.96274;
2.45562e-06;4.96276;
2.46062e-06;4.96278;
2.46562e-06;4.96281;
2.47062e-06;4.96283;
2.47562e-06;4.96285;
2.48062e-06;4.96288;
2.48562e-06;4.9629;
2.49062e-06;4.96292;
2.49562e-06;4.96295;
2.50062e-06;4.96297;
2.50562e-06;4.96299;
2.51062e-06;4.96302;
2.51562e-06;4.96304;
2.52062e-06;4.96306;
2.52562e-06;4.96309;
2.53062e-06;4.96311;
2.53562e-06;4.96313;
2.54062e-06;4.96316;
2.54562e-06;4.96318;
2.55062e-06;4.9632;
2.55562e-06;4.96323;
2.56062e-06;4.96325;
2.56562e-06;4.96327;
2.57062e-06;4.9633;
2.57562e-06;4.96332;
2.58062e-06;4.96334;
2.58562e-06;4.96337;
2.59062e-06;4.96339;
2.59562e-06;4.96341;
2.60062e-06;4.96343;
2.60562e-06;4.96346;
2.61062e-06;4.96348;
2.61562e-06;4.9635;
2.62062e-06;4.96353;
2.62562e-06;4.96355;
2.63062e-06;4.96357;
2.63562e-06;4.96359;
2.64062e-06;4.96362;
2.64562e-06;4.96364;
2.65062e-06;4.96366;
2.65562e-06;4.96369;
2.66062e-06;4.96371;
2.66562e-06;4.96373;
2.67062e-06;4.96375;
2.67562e-06;4.96378;
2.68062e-06;4.9638;
2.68562e-06;4.96382;
2.69062e-06;4.96385;
2.69562e-06;4.96387;
2.70062e-06;4.96389;
2.70562e-06;4.96391;
2.71062e-06;4.96394;
2.71562e-06;4.96396;
2.72062e-06;4.96398;
2.72562e-06;4.964;
2.73062e-06;4.96403;
2.73562e-06;4.96405;
2.74062e-06;4.96407;
2.74562e-06;4.9641;
2.75062e-06;4.96412;
2.75562e-06;4.96414;
2.76062e-06;4.96416;
2.76562e-06;4.96419;
2.77062e-06;4.96421;
2.77562e-06;4.96423;
2.78062e-06;4.96425;
2.78562e-06;4.96428;
2.79062e-06;4.9643;
2.79562e-06;4.96432;
2.80062e-06;4.96434;
2.80562e-06;4.96437;
2.81062e-06;4.96439;
2.81562e-06;4.96441;
2.82062e-06;4.96443;
2.82562e-06;4.96445;
2.83062e-06;4.96448;
2.83562e-06;4.9645;
2.84062e-06;4.96452;
2.84562e-06;4.96454;
2.85062e-06;4.96457;
2.85562e-06;4.96459;
2.86062e-06;4.96461;
2.86562e-06;4.96463;
2.87062e-06;4.96466;
2.87562e-06;4.96468;
2.88062e-06;4.9647;
2.88562e-06;4.96472;
2.89062e-06;4.96474;
2.89562e-06;4.96477;
2.90062e-06;4.96479;
2.90562e-06;4.96481;
2.91062e-06;4.96483;
2.91562e-06;4.96486;
2.92062e-06;4.96488;
2.92562e-06;4.9649;
2.93062e-06;4.96492;
2.93562e-06;4.96494;
2.94062e-06;4.96497;
2.94562e-06;4.96499;
2.95062e-06;4.96501;
2.95562e-06;4.96503;
2.96062e-06;4.96505;
2.96562e-06;4.96508;
2.97062e-06;4.9651;
2.97562e-06;4.96512;
2.98062e-06;4.96514;
2.98562e-06;4.96516;
2.99062e-06;4.96518;
2.99562e-06;4.96521;
3.00062e-06;4.96523;
3.00562e-06;4.96525;
3.01062e-06;4.96527;
3.01562e-06;4.96529;
3.02062e-06;4.96532;
3.02562e-06;4.96534;
3.03062e-06;4.96536;
3.03562e-06;4.96538;
3.04062e-06;4.9654;
3.04562e-06;4.96543;
3.05062e-06;4.96545;
3.05562e-06;4.96547;
3.06062e-06;4.96549;
3.06562e-06;4.96551;
3.07062e-06;4.96553;
3.07562e-06;4.96556;
3.08062e-06;4.96558;
3.08562e-06;4.9656;
3.09062e-06;4.96562;
3.09562e-06;4.96564;
3.10062e-06;4.96566;
3.10562e-06;4.96569;
3.11062e-06;4.96571;
3.11562e-06;4.96573;
3.12062e-06;4.96575;
3.12562e-06;4.96577;
3.13062e-06;4.96579;
3.13562e-06;4.96581;
3.14062e-06;4.96584;
3.14562e-06;4.96586;
3.15062e-06;4.96588;
3.15562e-06;4.9659;
3.16062e-06;4.96592;
3.16562e-06;4.96594;
3.17062e-06;4.96596;
3.17562e-06;4.96599;
3.18062e-06;4.96601;
3.18562e-06;4.96603;
3.19062e-06;4.96605;
3.19562e-06;4.96607;
3.20062e-06;4.96609;
3.20562e-06;4.96611;
3.21062e-06;4.96614;
3.21562e-06;4.96616;
3.22062e-06;4.96618;
3.22562e-06;4.9662;
3.23062e-06;4.96622;
3.23562e-06;4.96624;
3.24062e-06;4.96626;
3.24562e-06;4.96628;
3.25062e-06;4.96631;
3.25562e-06;4.96633;
3.26062e-06;4.96635;
3.26562e-06;4.96637;
3.27062e-06;4.96639;
3.27562e-06;4.96641;
3.28062e-06;4.96643;
3.28562e-06;4.96645;
3.29062e-06;4.96647;
3.29562e-06;4.9665;
3.30062e-06;4.96652;
3.30562e-06;4.96654;
3.31062e-06;4.96656;
3.31562e-06;4.96658;
3.32062e-06;4.9666;
3.32562e-06;4.96662;
3.33062e-06;4.96664;
3.33562e-06;4.96666;
3.34062e-06;4.96668;
3.34562e-06;4.96671;
3.35062e-06;4.96673;
3.35562e-06;4.96675;
3.36062e-06;4.96677;
3.36562e-06;4.96679;
3.37062e-06;4.96681;
3.37562e-06;4.96683;
3.38062e-06;4.96685;
3.38562e-06;4.96687;
3.39062e-06;4.96689;
3.39562e-06;4.96691;
3.40062e-06;4.96694;
3.40562e-06;4.96696;
3.41062e-06;4.96698;
3.41562e-06;4.967;
3.42062e-06;4.96702;
3.42562e-06;4.96704;
3.43062e-06;4.96706;
3.43562e-06;4.96708;
3.44062e-06;4.9671;
3.44562e-06;4.96712;
3.45062e-06;4.96714;
3.45562e-06;4.96716;
3.46062e-06;4.96718;
3.46562e-06;4.96721;
3.47062e-06;4.96723;
3.47562e-06;4.96725;
3.48062e-06;4.96727;
3.48562e-06;4.96729;
3.49062e-06;4.96731;
3.49562e-06;4.96733;
3.50062e-06;4.96735;
3.50562e-06;4.96737;
3.51062e-06;4.96739;
3.51562e-06;4.96741;
3.52062e-06;4.96743;
3.52562e-06;4.96745;
3.53062e-06;4.96747;
3.53562e-06;4.96749;
3.54062e-06;4.96751;
3.54562e-06;4.96753;
3.55062e-06;4.96755;
3.55562e-06;4.96757;
3.56062e-06;4.96759;
3.56562e-06;4.96762;
3.57062e-06;4.96764;
3.57562e-06;4.96766;
3.58062e-06;4.96768;
3.58562e-06;4.9677;
3.59062e-06;4.96772;
3.59562e-06;4.96774;
3.59797e-06;4.96775;
3.60088e-06;4.96776;
3.60303e-06;4.96777;
3.60552e-06;4.96778;
3.60812e-06;4.96779;
3.61312e-06;4.96781;
3.61812e-06;4.96783;
3.62312e-06;4.96785;
3.62812e-06;4.96787;
3.63312e-06;4.96789;
3.63812e-06;4.96791;
3.64312e-06;4.96793;
3.64812e-06;4.96795;
3.65312e-06;4.96797;
3.65812e-06;4.96799;
3.66312e-06;4.96801;
3.66812e-06;4.96803;
3.67312e-06;4.96805;
3.67812e-06;4.96807;
3.68312e-06;4.96809;
3.68812e-06;4.96811;
3.69312e-06;4.96813;
3.69812e-06;4.96815;
3.70312e-06;4.96817;
3.70812e-06;4.96819;
3.71312e-06;4.96821;
3.71812e-06;4.96823;
3.72312e-06;4.96825;
3.72812e-06;4.96827;
3.73312e-06;4.96829;
3.73812e-06;4.96831;
3.74312e-06;4.96833;
3.74812e-06;4.96835;
3.75312e-06;4.96837;
3.75812e-06;4.96839;
3.76312e-06;4.96841;
3.76812e-06;4.96843;
3.77312e-06;4.96845;
3.77812e-06;4.96847;
3.78312e-06;4.96849;
3.78812e-06;4.96851;
3.79312e-06;4.96853;
3.79812e-06;4.96855;
3.80312e-06;4.96857;
3.80812e-06;4.96859;
3.81312e-06;4.96861;
3.81812e-06;4.96863;
3.82312e-06;4.96865;
3.82812e-06;4.96867;
3.83312e-06;4.96869;
3.83812e-06;4.96871;
3.84312e-06;4.96873;
3.84812e-06;4.96875;
3.85312e-06;4.96877;
3.85812e-06;4.96879;
3.86312e-06;4.96881;
3.86812e-06;4.96882;
3.87312e-06;4.96884;
3.87812e-06;4.96886;
3.88312e-06;4.96888;
3.88812e-06;4.9689;
3.89312e-06;4.96892;
3.89812e-06;4.96894;
3.90312e-06;4.96896;
3.90812e-06;4.96898;
3.91312e-06;4.969;
3.91812e-06;4.96902;
3.92312e-06;4.96904;
3.92812e-06;4.96906;
3.93312e-06;4.96908;
3.93812e-06;4.9691;
3.94312e-06;4.96912;
3.94812e-06;4.96914;
3.95312e-06;4.96916;
3.95812e-06;4.96918;
3.96312e-06;4.9692;
3.96812e-06;4.96921;
3.97312e-06;4.96923;
3.97812e-06;4.96925;
3.98312e-06;4.96927;
3.98812e-06;4.96929;
3.99312e-06;4.96931;
3.99812e-06;4.96933;
4.00312e-06;4.96935;
4.00812e-06;4.96937;
4.01312e-06;4.96939;
4.01812e-06;4.96941;
4.02312e-06;4.96943;
4.02812e-06;4.96945;
4.03312e-06;4.96947;
4.03812e-06;4.96948;
4.04312e-06;4.9695;
4.04812e-06;4.96952;
4.05312e-06;4.96954;
4.05812e-06;4.96956;
4.06312e-06;4.96958;
4.06812e-06;4.9696;
4.07312e-06;4.96962;
4.07812e-06;4.96964;
4.08312e-06;4.96966;
4.08812e-06;4.96968;
4.09312e-06;4.9697;
4.09812e-06;4.96971;
4.10312e-06;4.96973;
4.10812e-06;4.96975;
4.11312e-06;4.96977;
4.11812e-06;4.96979;
4.12312e-06;4.96981;
4.12812e-06;4.96983;
4.13312e-06;4.96985;
4.13812e-06;4.96987;
4.14312e-06;4.96989;
4.14812e-06;4.9699;
4.15312e-06;4.96992;
4.15812e-06;4.96994;
4.16312e-06;4.96996;
4.16812e-06;4.96998;
4.17312e-06;4.97;
4.17812e-06;4.97002;
4.18312e-06;4.97004;
4.18812e-06;4.97006;
4.19312e-06;4.97007;
4.19812e-06;4.97009;
4.20312e-06;4.97011;
4.20812e-06;4.97013;
4.21312e-06;4.97015;
4.21812e-06;4.97017;
4.22312e-06;4.97019;
4.22812e-06;4.97021;
4.23312e-06;4.97022;
4.23812e-06;4.97024;
4.24312e-06;4.97026;
4.24812e-06;4.97028;
4.25312e-06;4.9703;
4.25812e-06;4.97032;
4.26312e-06;4.97034;
4.26812e-06;4.97036;
4.27312e-06;4.97037;
4.27812e-06;4.97039;
4.28312e-06;4.97041;
4.28812e-06;4.97043;
4.29312e-06;4.97045;
4.29812e-06;4.97047;
4.30312e-06;4.97049;
4.30812e-06;4.9705;
4.31312e-06;4.97052;
4.31812e-06;4.97054;
4.32312e-06;4.97056;
4.32812e-06;4.97058;
4.33312e-06;4.9706;
4.33812e-06;4.97062;
4.34312e-06;4.97063;
4.34812e-06;4.97065;
4.35312e-06;4.97067;
4.35812e-06;4.97069;
4.36312e-06;4.97071;
4.36812e-06;4.97073;
4.37312e-06;4.97074;
4.37812e-06;4.97076;
4.38312e-06;4.97078;
4.38812e-06;4.9708;
4.39312e-06;4.97082;
4.39812e-06;4.97084;
4.40312e-06;4.97085;
4.40812e-06;4.97087;
4.41312e-06;4.97089;
4.41812e-06;4.97091;
4.42312e-06;4.97093;
4.42812e-06;4.97095;
4.43312e-06;4.97096;
4.43812e-06;4.97098;
4.44312e-06;4.971;
4.44812e-06;4.97102;
4.45312e-06;4.97104;
4.45812e-06;4.97106;
4.46312e-06;4.97107;
4.46812e-06;4.97109;
4.47312e-06;4.97111;
4.47812e-06;4.97113;
4.48312e-06;4.97115;
4.48812e-06;4.97116;
4.49312e-06;4.97118;
4.49812e-06;4.9712;
4.50312e-06;4.97122;
4.50812e-06;4.97124;
4.51312e-06;4.97126;
4.51812e-06;4.97127;
4.52312e-06;4.97129;
4.52812e-06;4.97131;
4.53312e-06;4.97133;
4.53812e-06;4.97135;
4.54312e-06;4.97136;
4.54812e-06;4.97138;
4.55312e-06;4.9714;
4.55812e-06;4.97142;
